Topic;Count;Main Words;c-TF-IDF score
0;3636;climatechange,climate,earth,scientists,scientific,world,science,believe,https,rt;0.6206243,0.5462747,0.28488892,0.2719677,0.25458187,0.24306631,0.23838758,0.23023546,0.20997962,0.1977563
1;1648;climate,policies,world,rt,change,care,efforts,believes,believe,trump;0.5653,0.26243418,0.23601453,0.22538522,0.22296642,0.21273655,0.20904379,0.20192635,0.19543815,0.1927761
2;1030;climate,warming,warmingq,earth,believe,donqt,global,didnqt,doesnqt,wonqt;0.61013234,0.56321836,0.44247937,0.31425518,0.23959783,0.23143196,0.23105511,0.22305493,0.22185615,0.21229109
3;1027;climate,renewable,emissions,renewables,mitigation,solar,change,carbon,trumps,energy;0.57056826,0.27933672,0.27810138,0.27801242,0.2533334,0.21756272,0.20075485,0.19517428,0.19333345,0.18890536
4;835;climate,environmental,epa,scientists,epas,change,rt,government,debate,trump;0.5735814,0.36404186,0.2956372,0.2739826,0.25704896,0.2527238,0.24482289,0.24053913,0.24024236,0.23058817
5;831;climatechange,climate,warming,deforestation,impacts,due,effects,global,change,impact;0.57203066,0.48846674,0.43636334,0.32201284,0.28675294,0.28489584,0.28357756,0.25378504,0.24517795,0.21975729
6;802;climatechange,climate,globalgoals,world,rt,global,treaty,news,statement,change;0.6413535,0.5902568,0.33624387,0.283916,0.27703533,0.2580096,0.23417804,0.21678847,0.21450883,0.21282461
7;785;climate,warming,hoax,world,warns,global,diplomat,realdonaldtrump,smog,believes;0.5503986,0.47741252,0.27952,0.2794166,0.26078364,0.2563873,0.2495071,0.24689609,0.24536523,0.23176381
8;653;warming,world,earth,global,rt,gonna,me,hot,washingtonpost,war;0.3941639,0.32260245,0.2767955,0.2733428,0.27024764,0.23439398,0.225701,0.21923798,0.21762592,0.21628065
9;512;climate,nature,believe,rt,change,gonna,going,to,httpstcocbw4kg,the;0.5636173,0.29622054,0.2515988,0.2510777,0.20277347,0.1956206,0.17998348,0.1765595,0.17228727,0.16196579
10;495;climatechange,climate,warming,arctic,scientists,scientist,antarctic,antarctica,glaciers,researchers;0.5416364,0.46453702,0.39195132,0.2860573,0.27392328,0.27255648,0.26337117,0.26279432,0.25655538,0.23556086
11;450;climate,warming,environmental,emissions,environment,epa,scientists,co2,carbon,cnnpolitics;0.6152177,0.52282625,0.39186537,0.36988133,0.36546773,0.31013954,0.30116764,0.2809549,0.2717737,0.2716
12;426;climatechange,climate,warming,documentary,flood,watchtweet,change,national,rt,video;0.6123039,0.50298154,0.4602614,0.36042118,0.287173,0.2794584,0.25797674,0.25040957,0.23491415,0.23202096
13;407;climate,greenpeaceusa,exxonknew,httpstco,https,rt,fossil,fuels,lied,exxonmobil;0.5466331,0.2928767,0.2608491,0.245655,0.22531524,0.22361693,0.21675497,0.21019427,0.20170781,0.20167018
14;398;climate,warming,tropical,hurricaneharvey,hurricane,responsible,global,link,storms,hurricanes;0.55202323,0.5031575,0.303186,0.28255913,0.25933757,0.23046297,0.22770141,0.22057334,0.21458149,0.21351592
15;397;climatechange,climate,warming,policy,world,abcnews,energy,rt,policies,summer;0.57192093,0.53750753,0.5049497,0.29776445,0.29322872,0.28576487,0.26494893,0.25021508,0.24745695,0.2418918
16;396;climate,climatechange,warming,ecological,cope,scientists,extinctions,survive,worldwildlife,endangered;0.5534845,0.54523426,0.5415871,0.31147477,0.3104958,0.3086588,0.30651653,0.3010611,0.29325855,0.29205126
17;393;climate,warming,scienceclimate,environmental,global,rt,effects,change,debate,science;0.597265,0.5432644,0.32444912,0.32200044,0.22066256,0.20876154,0.20228249,0.19109023,0.18131329,0.17324094
18;390;climate,sustainable,governments,rt,change,https,cities4climate,put,reuters,adapt;0.53406966,0.35246947,0.22141436,0.20535782,0.1956685,0.19403365,0.19343886,0.1869945,0.18114904,0.17923799
19;363;climate,warming,rt,agenda,global,threat,plan,alaska,conservation,policies;0.51296467,0.4749846,0.31232816,0.27102932,0.27100348,0.26786065,0.25400645,0.2493091,0.24648088,0.24428713
20;339;warming,weather,winter,warm,rt,snow,cold,snowing,believe,global;0.5151676,0.3384373,0.3110715,0.30212766,0.28141755,0.27917662,0.26509124,0.25633976,0.23748267,0.22357592
21;337;climatechange,climate,warming,oceans,2030,scientists,ocean,atlantic,planets,rt;0.60755765,0.5646136,0.540128,0.32145235,0.3032753,0.28984317,0.2761424,0.2712928,0.26331088,0.26220876
