Topic;Count;Main Words;c-TF-IDF score
0;2314;climatechange,climate,earth,future,rt,scientists,world,change,scientific,believe;0.6158462,0.5293509,0.27913567,0.27619922,0.2662724,0.25970262,0.25788182,0.2162124,0.2096486,0.20785251
1;1695;warming,earth,weather,winter,scientists,snow,global,cold,hot,rt;0.45683816,0.32236075,0.31366217,0.30361593,0.2628357,0.24620321,0.23959085,0.23688036,0.21421912,0.20095462
2;1017;climate,policy,scientists,global,change,rt,america,believes,care,trump;0.57358146,0.3437223,0.27398252,0.27201915,0.25272378,0.24482286,0.23694181,0.23474154,0.234329,0.23058821
3;579;climate,renewable,renewables,emissions,solar,policy,energy,carbon,put,change;0.5499752,0.40414995,0.39415985,0.33761686,0.3166911,0.31557244,0.31509915,0.29158595,0.27905437,0.27593687
4;498;climate,warming,warmingq,earth,rt,global,news,obama,donqt,youqll;0.52016866,0.45146698,0.38807166,0.3179953,0.28526488,0.28232765,0.261086,0.23892292,0.23738745,0.23334856
5;487;climate,warming,world,diplomat,rt,global,hoax,warns,trump,realdonaldtrump;0.46794266,0.3946608,0.31001168,0.2972824,0.2941838,0.26709843,0.2627435,0.25387958,0.2405046,0.2395928
6;450;climatechange,climate,warming,globalgoalsun,trump,rt,nato,treaty,world,agreement;0.61679524,0.5347965,0.44107985,0.3001762,0.28217965,0.27476782,0.26129678,0.26054406,0.2542998,0.23040983
7;423;climatechange,climate,warming,sustainable,biodiversity,rt,soils,waste,vegan,land;0.60636055,0.5318464,0.4233985,0.39687896,0.23180294,0.22925994,0.2175037,0.21286052,0.20707719,0.20521298
8;344;climatechange,climate,warming,politifact,environment,cnnpolitics,epa,environmental,emissions,epas;0.62299216,0.52099013,0.48544815,0.3713826,0.35366076,0.3467303,0.34402323,0.3396334,0.33079478,0.29730982
9;320;climate,warming,policy,coast,agenda,global,sign,conservation,policies,summit;0.5466331,0.5386996,0.3168507,0.28807497,0.28307325,0.2620893,0.25773692,0.25264615,0.2510928,0.2500847
10;317;climatechange,climate,world,abcnews,policy,pacific,cyclone,threatened,rt,change;0.6395525,0.5665475,0.2666636,0.2603919,0.25599673,0.23965392,0.23436254,0.21569647,0.21127933,0.2041628
11;258;climate,warming,rt,bbcnews,global,contra,yung,fr,est,change;0.47394383,0.40202713,0.2926583,0.27839327,0.27402395,0.22852062,0.22753578,0.22730467,0.2235502,0.21940523
12;252;climate,decades,exxonknew,rt,cnnmoney,reuters,research,change,fossil,probe;0.55671346,0.24801788,0.23421533,0.23256108,0.23042953,0.21964824,0.2188935,0.21626285,0.21246785,0.19273043
13;247;climate,warming,environment,world,rt,believes,global,bush,americamag,urged;0.536718,0.47948414,0.3451445,0.2855539,0.2682987,0.25508183,0.24462205,0.20785761,0.19799653,0.19724642
14;242;climatechange,climate,climatehour,warming,arctic,satellite,rt,nasa,oceans,scientists;0.6392144,0.5504649,0.53044057,0.49757627,0.39209682,0.37500757,0.36070868,0.33559608,0.3304572,0.30866438
15;233;climate,environmental,rt,altering,skeptic,epa,change,transition,debate,trump;0.47712952,0.287746,0.26772285,0.26211137,0.2550538,0.25370443,0.2494272,0.24001698,0.233426,0.2328476
16;229;warming,climate,tropical,hurricane,hurricaneharvey,storms,katrina,hurricanes,global,cyclones;0.60055566,0.59030664,0.35528895,0.3126377,0.29994324,0.2965397,0.28252947,0.26748696,0.26136386,0.24829899
17;225;climate,warming,warmingsoinitiated,tropical,planted,deforestation,rt,mitigating,global,forests;0.54468364,0.50537866,0.4993043,0.36004496,0.2983452,0.29307398,0.2743464,0.27042222,0.26158732,0.25800568
18;222;climate,rt,survive,worlds,coastal,trump,change,hottest,to,governments;0.5491284,0.29437253,0.27638322,0.2591673,0.25912213,0.22841486,0.22639012,0.2214332,0.21723562,0.20822912
19;215;climate,warming,climatehawk1,arctic,glaciers,antarctica,glacial,antarctic,greenland,glacier;0.52662957,0.43220657,0.39794046,0.32150447,0.30447832,0.2969774,0.2962429,0.28756323,0.28161615,0.27332678
20;206;climatechange,climate,warming,sciencenews,earthtomarrakech,nature,ecosystems,scientists,worldwildlife,iucn;0.618904,0.53543174,0.4779989,0.41109985,0.3486978,0.32263413,0.30523062,0.30501053,0.28150004,0.2730829
21;200;climate,environmental,rt,future,scienceclimate,scientific,learn,teach,do,science;0.559103,0.36438888,0.2730742,0.24449763,0.2431461,0.22693935,0.21487907,0.20841211,0.20818678,0.19928417
22;173;climate,climatehawk1,trudeau,coast,ambassador,justintrudeau,carbon,rt,aboriginal,change;0.5630772,0.40307143,0.30123794,0.2896516,0.28656074,0.27368096,0.25405717,0.24873258,0.24506295,0.23986664
23;166;climate,ecosystem,flood,change,rt,world,ahead,httpstcoc1g2lkhain,httpstcolkdehj3tnn,exploring;0.58707005,0.34992325,0.28833786,0.26483068,0.24136484,0.23729086,0.23106733,0.2175046,0.21691757,0.2160837
24;163;climate,warming,global,world,disasters,sequel,film,movie,summit,donald;0.58967555,0.43421906,0.2968281,0.27089468,0.2576293,0.21484874,0.21362889,0.20857927,0.19625595,0.18856037
25;162;climatechange,climate,greenpeaceusa,rt,change,geographics,world,geographic,httpstcoqe9tsnjzka,trump;0.5902832,0.5168452,0.29624847,0.23112997,0.2152906,0.20978244,0.19861555,0.19829084,0.1982135,0.19820344
26;141;climate,rewrote,sanctions,change,santorum,rt,risks,https,exxon,email;0.56356275,0.22953089,0.21536592,0.20858924,0.20522216,0.20164466,0.19502321,0.18796816,0.18314022,0.17801106
27;135;climate,world,leaders,mayors,energy,science,rt,leading,efforts,change;0.58087975,0.28152323,0.24996069,0.24629995,0.23572399,0.23056364,0.23004994,0.22144194,0.21649444,0.21167152
28;129;climate,climatehour,policy,nations,change,rt,efforts,doing,to,trump;0.5610505,0.46136945,0.3237388,0.30219287,0.2516735,0.23782381,0.22578937,0.22177729,0.22152185,0.21229519
29;126;climate,warming,future,oceans,scientists,predicts,rt,coolestcarib,iceberg,ocean;0.55645126,0.454701,0.28905934,0.2602329,0.24927458,0.23452365,0.23391798,0.22404587,0.22154652,0.21535677
30;117;climate,environmental,world,rt,wake,regime,mitigate,concerns,change,minister;0.557981,0.32262966,0.31318384,0.29175878,0.26810032,0.25418752,0.24845347,0.244649,0.22330703,0.206765
31;111;climate,warming,concerns,global,rt,solar,change,hoax,due,to;0.5744937,0.53755075,0.28398806,0.24642377,0.23976064,0.232101,0.22884928,0.22856349,0.22578347,0.22367233
32;110;climate,warming,sciencepolitics,hoax,httpstconoatvmh294,rt,change,didnt,do,tru;0.5603727,0.52036166,0.35404962,0.23659243,0.22752911,0.22439091,0.22422534,0.21683371,0.2142885,0.21337396
33;108;climatechange,climate,drought,geosciences,cnnafrica,rt,africa,due,madagascar,southern;0.6646968,0.58358073,0.41903925,0.33905786,0.3060306,0.27764314,0.26470858,0.25847498,0.2578163,0.2533807
34;105;climatechange,climate,warming,arctic,globalwarming,polar,rt,factsguide,polarbears,change;0.6207305,0.5632282,0.4827565,0.40964705,0.37435287,0.2661845,0.2609249,0.25034338,0.23224306,0.20417452
35;100;climatechange,climate,climatehawk1,environmental,epa,agenda,scientists,epas,envdefensefund,science;0.63946086,0.5887159,0.4811993,0.38091815,0.32430705,0.31854063,0.28697506,0.2798017,0.27402347,0.25933307
